"instrument","timestamp","bid_open","bid_high","bid_low","bid_close","ask_open","ask_high","ask_low","ask_close","volume","source","account_id","data_source_type","processing_latency_ms","data_quality_score","is_validated","created_by","created_at","spread_close"
USDJPY,2025-11-19 05:29:00.000 +0530,155.54300000,155.54300000,155.53200000,155.53200000,155.54500000,155.54700000,155.53400000,155.53400000,81223.43,dukascopy,,historical,,100,true,dukascopy_loader,2025-11-19 11:55:41.621 +0530,0.00200000
USDJPY,2025-11-19 05:28:00.000 +0530,155.55400000,155.56600000,155.54700000,155.54700000,155.55800000,155.57200000,155.55100000,155.55100000,76943.88,dukascopy,,historical,,100,true,dukascopy_loader,2025-11-19 11:55:41.621 +0530,0.00400000
USDJPY,2025-11-19 05:27:00.000 +0530,155.53400000,155.55900000,155.53400000,155.55500000,155.53800000,155.56200000,155.53800000,155.55900000,74810.15,dukascopy,,historical,,100,true,dukascopy_loader,2025-11-19 11:55:41.621 +0530,0.00400000
USDJPY,2025-11-19 05:26:00.000 +0530,155.54200000,155.54200000,155.52800000,155.53400000,155.54500000,155.54500000,155.53200000,155.53800000,44858.08,dukascopy,,historical,,100,true,dukascopy_loader,2025-11-19 11:55:41.621 +0530,0.00400000
USDJPY,2025-11-19 05:25:00.000 +0530,155.54300000,155.54700000,155.54100000,155.54300000,155.54700000,155.55000000,155.54500000,155.54700000,36339.74,dukascopy,,historical,,100,true,dukascopy_loader,2025-11-19 11:55:41.621 +0530,0.00400000
USDJPY,2025-11-19 05:24:00.000 +0530,155.54000000,155.55000000,155.53700000,155.54400000,155.54400000,155.55400000,155.54100000,155.54800000,70553.54,dukascopy,,historical,,100,true,dukascopy_loader,2025-11-19 11:55:41.621 +0530,0.00400000
USDJPY,2025-11-19 05:23:00.000 +0530,155.53400000,155.54400000,155.53200000,155.54200000,155.53800000,155.54700000,155.53600000,155.54600000,36345.41,dukascopy,,historical,,100,true,dukascopy_loader,2025-11-19 11:55:41.621 +0530,0.00400000
USDJPY,2025-11-19 05:22:00.000 +0530,155.54300000,155.54300000,155.53200000,155.53200000,155.54700000,155.54700000,155.53500000,155.53600000,47013.58,dukascopy,,historical,,100,true,dukascopy_loader,2025-11-19 11:55:41.621 +0530,0.00400000
USDJPY,2025-11-19 05:21:00.000 +0530,155.55400000,155.55400000,155.54100000,155.54500000,155.56000000,155.56100000,155.54500000,155.54900000,51267.61,dukascopy,,historical,,100,true,dukascopy_loader,2025-11-19 11:55:41.621 +0530,0.00400000
USDJPY,2025-11-19 05:20:00.000 +0530,155.55200000,155.55500000,155.54900000,155.55400000,155.56100000,155.56300000,155.55700000,155.56100000,36383.74,dukascopy,,historical,,100,true,dukascopy_loader,2025-11-19 11:55:41.621 +0530,0.00700000
